text_en,text_mr,subvirtue_name_en
"As soon as I see something wrong happening, I immediately start working to stop it.",मला चुकीच्या गोष्टी घडताना दिसल्या की त्या थांबवण्यासाठी मी लगेच काम सुरू करतो.,Intolerance of injustice
I am aware of the events happening in society and the reasons behind them.,समाजातील घडणाऱ्या घटना व त्यामागील कारणे मला माहिती असतात.,Protecting social welfare
"Taking into account people's abilities and limitations in relation to the surrounding circumstances, I avoid blaming them unnecessarily and try to understand the challenges they face in their progress.",आजूबाजूच्या परिस्थितीशी संबंधित लोकांच्या क्षमता व मर्यादा यांची जाण ठेवून मी उगाच दोष देणे टाळतो. त्यांच्या प्रगतीतील अडचणी समजून घेतो.,Protecting social welfare
"Instead of forming an opinion – solely from the information received from newspapers and other sources – I find it more important to experience the situation personally, and I do so.",वृतपत्र व अन्य स्रोतांमधून मिळालेली माहिती यातूनच केवळ मत न बनवता स्वत: अनुभव घेणे मला जास्त गरजेचे वाटते व मी तसे करतो.,Protecting social welfare
I take into account every unique social group in society and try to understand opposing or diverse perspectives.,मी समाजातील प्रत्येक गटांचा विचार करतो व परस्परविरोधी बाजू समजून घेतो. ,Protecting social welfare
"I always try to keep in mind that every action, big or small, of mine has some impact on society.",माझ्या छोट्या - मोठ्या सर्व कृतींचा समाजावर काहीतरी परिणाम होत असतो हे मी डोक्यात ठेवतो.,Protecting social welfare
"I do not hold any hatred towards any particular community; instead, I think about what is needed for their progress and what should be done first to achieve that.","मी कोणत्याही विशिष्ट समाजाप्रती द्वेष बाळगत नाही, तर त्यांच्या उन्नतीसाठी काय आवश्यक आहे व त्यासाठी आधी काय झाले पाहिजे याचा विचार मी करतो.",Protecting social welfare
"When I see injustice happening to someone else, I become restless and try to find a solution.",इतर कोणासोबतही अन्याय होताना दिसल्यावर मी अस्वस्थ होऊन त्यावर उत्तर शोधण्याचा प्रयत्न सुरू करतो.,Protecting social welfare
I always complete the work I undertake.,हाती घेतलेले काम मी नेहमी पूर्ण करतो.,Determination
I can move forward with confidence in my own abilities.,स्वतःच्या क्षमतांवर विश्वास ठेवून आत्मविश्वासाने पुढे जाता येते.,Determination
"I have a well-defined daily routine, and I follow it to carry out my work.",माझा दिनक्रम नियमित ठरलेला असतो. त्यानुसार मी काम करतो.,Determination
"I can maintain the intensity with which I resolve something, till the goal is achieved.",मी ज्या तीव्रतेने निर्धार केला होता ती तीव्रता निर्धार पूर्ण होईपर्यंत राखता येते. ,Determination
"I can complete my work by finding appropriate alternatives for tools, people, and methods, and by getting the cooperation as I need.","साधने, व्यक्ती, पद्धती यांना पर्याय शोधून व हवे तसे सहकार्य मिळवून मला माझे काम पूर्ण करता येते.",Determination
I can complete a task without making any mess of it by exercising a great restraint to not rush the completion of the task.,मला पुष्कळ संयम ठेवून एखादे काम घाईमुळे न बिघडवता पूर्ण करून घेता येते.,Determination
"Regardless of how much people try to convince me otherwise or oppose my work, I can fearlessly carry out what I have decided.","लोकांनी कितीही उलट-सुलट पटवायचा प्रयत्न केला किंवा माझ्या कामाला विरोध केला तरी मी जे स्वीकारले आहे, ते मला निर्भयपणे पार पाडता येते.",Determination
"Rather than just catering to act on my whim, I prioritize working based on the long-term impact of the work.",मी जे वाटेल ते काम करण्यापेक्षा कामाचा दीर्घकालीन परिणाम पाहून काम करण्याला महत्त्व देतो.,Goal orientation
I ensure that my work proves to be useful for others.,माझे काम इतरांना उपयुक्त व्हावे याची काळजी मी घेतो.,Goal orientation
I strive to ensure that my work continues even in my absence.,माझे काम मी नसतानाही चालू राहावे यासाठी प्रयत्न करतो.,Goal orientation
"My life goals, career goals, academic goals, and personality development goals are aligned with each other and with my other hobbies and preferences.","माझे जीवनध्येय (Life goal), जीविका ध्येय (career goal), शैक्षणिक ध्येयं (academic goals) व व्यक्तिमत्त्व विकसन ध्येय (personality development goals) यात एकमेकांमध्ये व माझ्या एकूण आवडीनिवडींमध्ये समन्वय असतो.",Goal orientation
"I can present the historical background, current impact, and the potential outcome 10-15 years from now for any task.","मी कोणत्याही कामाची ऐतिहासिक पार्श्वभूमी, सध्याचा परिणाम व १०-१५ वर्षांनंतर होणारा परिणाम यांच्याबद्दल मांडणी करू शकतो.",Goal orientation
I focus on the intended impact of an activity or event rather than the nature of the activity undertaken.,मी उपक्रम कोणता झाला या पेक्षा परिणाम जो हवा होता तो झाला की नाही याला प्राधान्य देतो.,Goal orientation
"Rather than changing a person when work doesn't succeed, where possible, I focus on enabling the person to learn the required lessons, so that they may complete the tasks themselves.","प्रत्येक वेळी काम होत नाही म्हणून व्यक्ती बदलण्यापेक्षा, जिथे शक्य आहे तिथे, मी व्यक्तीचे शिक्षण होण्याला प्राधान्य देतो.",Goal orientation
"I determine the success or failure of a task based on how much the goal was achieved, rather than focusing on how I was benefitted.",मला काय मिळते या पेक्षा ध्येयपूर्ती किती प्रमाणात झाली यावरून मी उपक्रमाचे यशापयश ठरवतो.,Goal orientation
I write down dreams and make estimates for what I will do in the next 5 years.,पुढच्या ५ वर्षात मी काय करणार आहे यासाठी मी स्वप्ने लिहितो व काही अंदाज मांडतो.,Future planning skills
"In the fields I work in, I have an understanding of significant historical events and individuals, institutions, organizations, or other factors capable of bringing about the change.","मी ज्या ज्या क्षेत्रांमध्ये काम करत आहे, त्यातील महत्त्वाच्या ऐतिहासिक घटनांची व बदल घडवण्याची क्षमता असणाऱ्या व्यक्ती / संस्था / संघटना वा अन्य घटकांची मला कल्पना असते.",Future planning skills
"I can visualize how an event might unfold or how a goal might be achieved, and I have a clear understanding of the steps required to achieve that goal.","एखादी घटना कशी कशी घडत जाऊ शकते / एखादे उद्दिष्ट कसे कसे पूर्ण होऊ शकते, याबद्दल मला अंदाज मांडता येतो. ते उद्दिष्ट साध्य करण्याच्या पायऱ्या मला स्पष्ट असतात.",Future planning skills
"If a task isn't proceeding as planned or a goal is not being reached, I can quickly devise an alternative approach or schedule.",अमुक एका प्रकारे काम होणार नसेल किंवा उद्दिष्ट गाठले जाणार नसेल तर पर्यायी मार्ग किंवा वेळापत्रक मला लगेच तयार करता येते.,Future planning skills
I can gather the necessary resources by exploring diverse opportunities worldwide.,जगभरातील विविध संधींचा शोध घेऊन आवश्यक त्या गोष्टींचा स्वीकार मला करता येतो.,Future planning skills
"I can easily categorize tasks that I will undertake in the next 10 minutes, throughout the day, week, month, year, and 5-6 years, and I can quickly identify the interconnections between tasks at various levels.","पुढच्या १० मिनिटांमध्ये, दिवसभरामध्ये, आठवड्याभरामध्ये, महिन्याभरामध्ये, वर्षभरामध्ये व ५-६ वर्षांमध्ये मी काय काय करणार आहे अथवा मला काय काय करावे लागणार आहे अशा कामांची वर्गवारी मला सहजपणे करता येते व अशा विविध पातळ्यांवरील कामांमधील परस्पर संबंध मला सहजपणे शोधता येतो,",Future planning skills
I am aware of my life goals and continuously keep on adoting necessary steps to achieve them.,माझे जीवनध्येय मला माहिती आहे व ते गाठण्यासाठी आवश्यक ते नियोजन मी सतत करत असतो.,Future planning skills
"Even if I have to manage my time rigorously, I make sure to set aside specific time to complete my tasks.",जरी मला वेळेची खूप कसरत करावी लागत असेल तरी मी माझं काम पूर्ण करण्यासाठी ठरावीक वेळ काढतो.,Consistency/Persistence
"I plan my time well for regular activities such as worship, exercise, reading, and other hobbies alongside my work.","कामासोबत नियमित उपासना, व्यायाम, वाचन, इतर छंद यासाठी वेळेचे नियोजन बऱ्यापैकी चांगले केलेले असते.",Consistency/Persistence
I can make the necessary plans to either complete tasks left out of a schedule or restore a disrupted plan to its original state.,एखाद्या नियोजनानुसार राहून गेलेली कामे होण्यासाठी वा बिघडलेले नियोजन पूर्ववत आणण्यासाठी मला आवश्यक ती योजना करता येते.,Consistency/Persistence
"I am aware that every day, every moment is important, and because of that, I am always looking for new things to do.","प्रत्येक दिवस, प्रत्येक क्षण महत्वाचा आहे याची जाणीव मला असते व त्यामुळे मी सतत नवीन काय करायचे याचा शोध घेत राहतो.",Consistency/Persistence
"I understand that change happens through small, regular efforts, not all at once, and I try to plan my goals and tasks accordingly.","एका झटक्याने नाही, तर थोड्या थोड्या नियमित प्रयत्नांनी बदल होतो हे मला समजते व त्याप्रमाणेच मी उद्दिष्ट व उपक्रमांचे नियोजन करण्याचा प्रयत्न करतो.",Consistency/Persistence
I have well set mechanism to continue efforts or follow-up on actions that are not yielding immediate / expected response.,प्रतिसाद मिळत नसलेल्या कृतीतही प्रयत्न / पाठपुरावा चालू ठेवण्याची रचना मी बसवलेली असते.,Consistency/Persistence
I incorporate previously missed tasks back into my plans.,पूर्वी राहून गेलेली कामे नव्याने नियोजनात मी आणतो.,Consistency/Persistence
"When friends, relatives, or acquaintances face a problem, first thing that comes to my mind is about the ways in which I can help them.","मित्र, नातेवाईक, परिचित अशा वर्तुळातील कोणालाही अडचण आली तर काय मदत करता येईल असा विचार माझ्या मनात पहिल्यांदा येतो.",Concern
"Even when someone from any social group makes an upsetting statement, I first try to understand what their distress might be.",कोणत्याही समाजगटातील व्यक्तींनी चीड येईल असे वक्तव्य केले तरी सुरुवातीला त्यांचे दु:ख काय असेल असे शोधावेसे वाटते.,Concern
I seek opportunities to provide financial or time-based help to marginalized groups in society.,माझ्याकडून आर्थिक अथवा वेळेची मदत समाजातील उपेक्षित घटकांना व्हावी यासाठी मी संधी शोधतो.,Concern
I am constantly reflecting on the areas where the country should make progress.,"देशाची प्रगती कोणकोणत्या क्षेत्रांमध्ये व्हावी, यासाठी माझे सतत चिंतन चालू असते.",Concern
"I constantly reflect on the present, past, and future enemies of society, their internal and external aspects, and how to bring about a change in the mindset of internal enemies and resist external enemies.","समाजाचे आजचे, कालचे आणि उद्याचे शत्रू कोण; त्यातले अन्तर्गत व बाह्य कोण; अन्तर्गत शत्रूंचे मतपरिवर्तन व बाह्य शत्रूंचा प्रतिकार कसे करायचे यासाठी याचा अभ्यास व चिंतन चालू असते. ",Concern
"I believe it is more important to focus on how the majority of people in society will accept something, rather than whether it is logically right or wrong.",एखादी गोष्ट तार्किकदृष्ट्या बरोबर आहे का नाही यापेक्षा समाजातील अधिकाधिक लोकं कशी स्वीकारतील यासाठी प्रयत्न करणे अधिक महत्त्वाचे वाटते.,Social orientation
"Despite any flaws, the feeling that ""they are our own people"" remains in my mind.",दोष असले तरी आपलेच लोक आहेत ही भावना सतत मनात असते.,Social orientation
"I feel a strong desire to communicate with people who follow different traditions, methods, or thoughts but work towards unity.","समाजातील माझ्यापेक्षा वेगळ्या परंपरा, पद्धती अथवा विचारांनी वागणाऱ्या परंतु एकात्मतेसाठी काम करणाऱ्या कोणत्याही माणसाशी संवाद साधण्याची भूक मला असते.",Social orientation
"I am curious about and experience history, geography, art, science, methods, and traditions.","इतिहास, भूगोल, कला, शास्त्र, पद्धती, रीती या सर्वांबाबत कुतुहल असणे व अनुभव घेणे असे मी करतो.",Social orientation
"I know how to bring about a new form for the country, which changes to bring, and the efforts required for it. I also consider how my role will support others’ efforts.","देशाचे रूप नव्याने कसे आणायचे, कोणते आणायचे व त्यासाठी कोणते प्रयत्न करायचे हे मला माहिती असते. तसेच इतरांच्या प्रयत्नांनाही माझी भूमिका अनुकूल कशी असेल हे मी पाहतो.",Social orientation
"Once something is achieved, I have a desire to make it happen repeatedly and on a larger scale.",ठरवलेले गाठले की ते पुन्हा पुन्हा व आणखी मोठ्या प्रमाणात घडावे अशी भूक मला लागते.,Competitive spirit/Will to win
"If something hasn't worked out as planned, I try to find new solutions without getting discouraged.",ठरवलेले झाले नाही की खच्ची न होता नवीन उपाय शोधायचा प्रयत्न करतो,Competitive spirit/Will to win
"Even if the expected outcome didn't occur, I work on how to use the results for future tasks.","अपेक्षित असे घडले नाही, तरी जे घडले त्याचा पुढील कामासाठी उपयोग कसा करता येईल यावर मी काम करतो.",Competitive spirit/Will to win
"I continuously strive to enable others around me to achieve, what I have been able to achieve, on a larger scale.",मला जे करता आले ते माझ्या बरोबरच्या अनेकांना अधिक मोठ्या प्रमाणात करता यावे यासाठी मी सतत प्रयत्न करतो.,Competitive spirit/Will to win
"Instead of saying that work hasn’t been completed due to others, I take responsibility and think about how to ensure that others will be able to complete the work, next time.","इतरांमुळे काम झाले नाही असे कधीही न म्हणता, दोष स्वत:वर घेऊन पुढच्या वेळी इतरांकडूनही काम होईलच कसे याचा विचार मी करतो.",Competitive spirit/Will to win
"I am aware that human history has always ovareall been a story of progress, with adequate references to support my claim.",मानवी इतिहासात सतत प्रगतीच होत आलेली आहे हे मला ससंदर्भ माहिती असते.,Competitive spirit/Will to win
"I am comfortable sharing my true thoughts and feelings with others, even in difficult situations.",अतिशय अडचणीच्या प्रसंगांमध्येही मला माझ्या भावना व विचार इतरांपर्यंत पोचवण्यात अडचण वाटत नाही.,Self-reflection
"I ask for feedback on my actions, work, or behavior","मी माझ्या कृती, कामे अथवा वर्तनाबद्दल प्रतिसाद मागतो.",Self-reflection
I consciously identify and work on my habits or behaviors that I feel are unproductive,ज्या सवयी किंवा वर्तनामुळे माझ्या क्षमतांच्या उपयोजनावर मर्यादा येतात अशा सवयी वा वागणे मी जाणीवपूर्वक शोधून त्यावर काम करतो. ,Self-reflection
I can talk with others about my strengths or virtues by giving incidental examples.,मी स्वत:चे गुण दुसऱ्याला उदाहरणांसह सांगू शकतो. ,Self-reflection
I quickly tell myself about the approriateness of my work and about the other possible ways in which it could have been carried out.,मी केलेले काम किती योग्य झाले व आणखी कोणत्या प्रकारे करता आले असते हे मी स्वत:ला पटकन सांगतो. ,Self-reflection
I ask questions to myself in every decision I make.,माझ्या प्रत्येक निर्णयाबद्दल मी स्वत:ला प्रश्न विचारतो.,Self-reflection
I ask people questions about my strengths or virtues.,स्वतःच्या गुणांबद्दल लोकांना मी प्रश्न विचारतो.,Self-reflection
I ask questions to myself only when people have any doubts regarding me.,लोकांना जर माझ्याबद्दल शंका असेल फक्त तेव्हाच मी स्वतःला प्रश्न विचारतो.,Self-reflection
I quickly adjust my plans when unexpected changes occur,अनपेक्षित असे काही घडल्यास माझे नियोजन मी चटकन बदलतो.,Flexibility
I change My responses as per groups or persons needs,माझे प्रतिसाद मी गटाच्या अथवा व्यक्तीच्या गरजेनुसार बदलतो.,Flexibility
I willingly step out of my comfort zone to try new methods or approaches,नवीन गोष्टी वा पद्धती वापरण्यासाठी माझ्या नेहमीच्या चाकोरीतून मी स्वेच्छेने बाहेर पडतो.,Flexibility
"When working with someone who has a different style or pace, I adjust without compromising the outcome.","जेव्हा इतर कोणाची शैली अथवा कामाचा वेग वेगळा असेल, तेव्हा मी माझ्या कार्यवाहीत आवश्यक ते फेरबदल करतो व जे ठरवले आहे ते गाठले जाईल असे पाहतो.",Flexibility
"If a personal or professional goal becomes unachievable due to unforeseen circumstances, I quickly set a new goal.",माझे वैयक्तिक अथवा व्यावसायिक उद्दिष्ट अकल्पित कारणांमुळे गाठणे शक्य नसल्यास मी चटकन नवीन उद्दिष्ट निश्चित करतो.,Flexibility
"If I'm assigned a task that falls outside my usual expertise, I try to attempt it with confidence and get help if necessary, without feeling insecure.","जर मला माझ्या नेहमीच्या तज्ज्ञतेच्या पलीकडील काही काम मिळाले, तरी मी ते आत्मविश्वासाने पूर्ण करण्याचा प्रयत्न करतो व मदत लागल्यास ती स्वत:च्या मनात असुरक्षिततेची कोणतीही भावना येऊ न देता हक्काने घेतो.",Flexibility
I handle last-minute changes to work or family schedules without feeling frustrated or overwhelmed,कामातील अथवा घरातील नियोजनात करावे लागणारे शेवटच्या क्षणीचे बदल मी कोणताही त्रागा करून न घेता निभावून नेतो.,Flexibility
"When I try a new hobby or activity, I  remain open-minded and patient even if it feels challenging at first",जेव्हा मी एखादी नवीन गोष्ट शिकतो किंवा नवीन छंद जोपासतो तेव्हा मी माझे मन खुले ठेवतो व जरी असे शिकणे आव्हानात्मक किंवा अवघड वाटले तरी मी संयमपूर्वक करतो.,Flexibility
I am ready to face any situation,मी कुठल्याही परिस्थिती साठी तयार असतो.,Flexibility
I can mould myself in a manner so required to help me adjust my work with people and therefore I can work with anybody,लोकांना त्रास होऊ नये म्हणून मी स्वतःमध्ये आवश्यक ते बदल करू शकतो व त्यामुळे वेगवेगळ्या लोकांसोबत काम करू शकतो.,Flexibility
"I set aside dedicated time daily for practices like meditation, prayer, or self-reflection",उपासना / ध्यान अथवा आत्मपरीक्षणासाठी मी दररोज काही वेळ देतो.,Contemplation/Meditation
"I consciously practice gratitude, focusing on the positive aspects of your life.",माझ्या मनात माझ्या आयुष्यातील सकारात्मक गोष्टींकडे लक्ष दिल्यामुळे सतत कृतज्ञतेची भावना असते.,Contemplation/Meditation
"At the end of the day, I reflect on my actions and their outcomes to understand and improve myself",दिवसाच्या शेवटी मी माझ्या कृतींचा व त्यांच्या परिणामांचा आढावा घेऊन त्या सुधारण्याचा प्रयत्न करतो.,Contemplation/Meditation
I contemplate and contextualize my place in the order of the world and try to accept all others' place in my life too.,या जगरहाटीतील माझे नेमके स्थान यावर माझे चिंतन चालू असते व इतरांचे माझ्या आयुष्यातील स्थान हे ही स्वीकारण्याचा मी प्रयत्न करतो.,Contemplation/Meditation
I embrace change as an opportunity for growth rather than seeing it as a problem.,एखाद्या बदलाकडे समस्या म्हणून न पाहता विकासाची संधी म्हणून मी पाहतो.,Adaptability
I stay calm and find solutions when forced to work in an unfamiliar situation,अपरिचित परिस्थिती अथवा वातावरणात काम करण्याचा प्रसंग ओढवल्यावर मी शांत राहून उत्तरे शोधतो.,Adaptability
"If a decision I made turns out to be wrong, I accept it and make necessary changes without hesitation.",मी घेतलेला निर्णय चुकला असे लक्षात आल्यावर मी ते स्वीकारून आवश्यक ते बदल कोणतीही खळखळ न करता करू शकतो.,Adaptability
I quickly pick up new skills or information when the situation demands it.,गरजेप्रमाणे मी नवीन कौशल्य अथवा माहिती पटकन आत्मसात करतो.,Adaptability
"If given a task that requires creativity or a new way of thinking, I willingly experiment with different solutions.",एखाद्या कामात प्रतिभा किंवा नवीन पद्धतीचा विचार करणे गरजेचे असल्यास मी स्वेच्छेने त्याबाबतीत प्रयोग करून नवीन उत्तरे शोधतो.,Adaptability
"When a decision I make does not lead to the desired result, I analyze it without blaming self.",मी घेतलेल्या निर्णयाचा अपेक्षित परिणाम झाला नाही तर स्वत:ला दोष न देता मी त्या निर्णयाचे विश्लेषण करू शकतो.,Ability to separate 'self' from decisions
"When working with a team, I focus on collective success rather than taking personal credit for decisions",गटात काम करताना मी माझ्या निर्णयाचे श्रेय घेत बसण्यापेक्षा गटाच्या यशावर अधिक लक्ष केंद्रित करतो.,Ability to separate 'self' from decisions
"I can separate sense of self-worth from the outcomes of my decisions, whether positive or negative.",माझ्या नजरेतील माझी किंमत ही माझ्या निर्णयांच्या बऱ्या-वाईट परिणामांवर अवलंबून नसते.,Ability to separate 'self' from decisions
"When reviewing the impact of a past decision, I focus on the lessons learned instead of dwelling on mistakes.","पूर्वी घेतलेल्या निर्णयांच्या परिणामांचा आढावा घेताना, त्यात चुका काय झाल्या यावर लक्ष देण्यापेक्षा मी त्यातून काय शिकायला मिळाले यावर लक्ष देतो.",Ability to separate 'self' from decisions
I accept criticism of my decisions without feeling personally attacked,माझ्या निर्णयांवरील टीका ही माझ्या वर टीका आहे असे न मानता मी स्वीकारतो.,Ability to separate 'self' from decisions
I can differentiate between style or personality traits of a person and role that person has to play by virtue of his or her position and I can do the same with myself.,एखाद्या व्यक्तीच्या पदामुळे तिला घ्यावी लागणारी भूमिका आणि त्या त्या व्यक्तीची शैली अथवा स्वभाववैशिष्ट्ये यात मी फरक करू शकतो व स्वत:बाबतीतही अशी स्पष्टता मला असते.,Ability to separate 'self' from decisions
